1.520: [GC 1.520: [DefNew: 959K->64K(960K), 0.0021182 secs] 34028K->33816K(524224K), 0.0021683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.524: [GC 1.524: [DefNew: 960K->64K(960K), 0.0019108 secs] 34712K->34363K(524224K), 0.0019585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.528: [GC 1.528: [DefNew: 960K->64K(960K), 0.0019286 secs] 35259K->34944K(524224K), 0.0019777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.531: [GC 1.531: [DefNew: 960K->63K(960K), 0.0018078 secs] 35841K->35438K(524224K), 0.0018507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.535: [GC 1.535: [DefNew: 959K->63K(960K), 0.0021452 secs] 36335K->36076K(524224K), 0.0021986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.538: [GC 1.538: [DefNew: 959K->63K(960K), 0.0018959 secs] 36972K->36639K(524224K), 0.0019469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.542: [GC 1.542: [DefNew: 959K->64K(960K), 0.0023704 secs] 37535K->37220K(524224K), 0.0024454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.546: [GC 1.546: [DefNew: 960K->63K(960K), 0.0022390 secs] 38117K->37905K(524224K), 0.0022934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.550: [GC 1.550: [DefNew: 959K->64K(960K), 0.0021962 secs] 38801K->38473K(524224K), 0.0022525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.554: [GC 1.554: [DefNew: 960K->64K(960K), 0.0020080 secs] 39371K->39077K(524224K), 0.0020629 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.557: [GC 1.557: [DefNew: 960K->64K(960K), 0.0023891 secs] 39974K->39756K(524224K), 0.0024618 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.562: [GC 1.562: [DefNew: 960K->63K(960K), 0.0028280 secs] 40652K->40503K(524224K), 0.0029064 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.566: [GC 1.566: [DefNew: 959K->64K(960K), 0.0024781 secs] 41400K->41168K(524224K), 0.0025431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.571: [GC 1.571: [DefNew: 960K->64K(960K), 0.0022626 secs] 42065K->41819K(524224K), 0.0023218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.574: [GC 1.574: [DefNew: 960K->64K(960K), 0.0023800 secs] 42716K->42422K(524224K), 0.0024493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.579: [GC 1.579: [DefNew: 960K->63K(960K), 0.0020826 secs] 43318K->43042K(524224K), 0.0021341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.583: [GC 1.583: [DefNew: 959K->64K(960K), 0.0022313 secs] 43939K->43605K(524224K), 0.0022905 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.586: [GC 1.586: [DefNew: 960K->63K(960K), 0.0023473 secs] 44501K->44215K(524224K), 0.0024060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.591: [GC 1.591: [DefNew: 959K->63K(960K), 0.0023882 secs] 45111K->44889K(524224K), 0.0024449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.595: [GC 1.595: [DefNew: 959K->64K(960K), 0.0027240 secs] 45785K->45716K(524224K), 0.0028078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.600: [GC 1.600: [DefNew: 960K->63K(960K), 0.0026610 secs] 46613K->46507K(524224K), 0.0027187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.604: [GC 1.604: [DefNew: 959K->63K(960K), 0.0021990 secs] 47403K->47153K(524224K), 0.0022472 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
